eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.9558685421943665,0.5,0.0677,59.091,14.773,1,2
0.9539262056350708,0.5,0.073,54.827,13.707,2,4
0.950658917427063,0.5,0.0708,56.507,14.127,3,6
0.9456499218940735,0.5,0.0654,61.193,15.298,4,8
0.9384506940841675,0.5,0.114,35.085,8.771,5,10
